ID,start,end,latency
0,1713181487768.897,1713181487707.8894,61.00773811340332
1,1713181487764.4602,1713181487708.6194,55.84096908569336
2,1713181487765.8345,1713181487709.1694,56.66518211364746
3,1713181487761.8403,1713181487709.6963,52.14405059814453
4,1713181487758.2107,1713181487710.234,47.97673225402832
5,1713181487763.4043,1713181487710.8132,52.59108543395996
6,1713181487755.2197,1713181487711.3318,43.88785362243652
7,1713181487766.4712,1713181487711.8618,54.60929870605469
8,1713181487766.1829,1713181487712.406,53.77697944641113
9,1713181487748.3245,1713181487712.9219,35.402536392211914
10,1713181487769.713,1713181487748.4268,21.2862491607666
11,1713181487770.703,1713181487755.3088,15.393972396850586
12,1713181487772.7463,1713181487758.316,14.430522918701172
13,1713181487780.862,1713181487761.9363,18.925905227661133
14,1713181487782.456,1713181487763.49,18.966197967529297
15,1713181487797.6714,1713181487764.828,32.84335136413574
16,1713181487794.4954,1713181487766.6746,27.820825576782227
17,1713181487802.073,1713181487767.079,34.993886947631836
18,1713181487805.4736,1713181487768.9534,36.52024269104004
19,1713181487796.1042,1713181487770.0554,26.048660278320312
20,1713181487803.8186,1713181487770.8804,32.938241958618164
21,1713181487801.2354,1713181487771.5674,29.668092727661133
22,1713181487799.6887,1713181487772.8198,26.86905860900879
23,1713181487810.7703,1713181487780.9514,29.81877326965332
24,1713181487810.454,1713181487782.517,27.936935424804688
25,1713181487832.3025,1713181487794.5881,37.714481353759766
26,1713181487818.169,1713181487796.1714,21.997451782226562
27,1713181487819.8677,1713181487797.7546,22.11308479309082
28,1713181487822.0676,1713181487799.7512,22.316455841064453
29,1713181487830.259,1713181487801.2966,28.962373733520508
30,1713181487826.9622,1713181487802.3599,24.602413177490234
31,1713181487835.7559,1713181487803.8909,31.86488151550293
32,1713181487833.7058,1713181487805.5574,28.148412704467773
33,1713181487837.2239,1713181487810.8162,26.407718658447266
34,1713181487838.007,1713181487811.317,26.690006256103516
35,1713181487842.945,1713181487818.2695,24.675607681274414
36,1713181487841.1057,1713181487819.9321,21.173477172851562
37,1713181487844.5476,1713181487822.1445,22.40300178527832
38,1713181487846.0881,1713181487827.0476,19.040584564208984
39,1713181487850.772,1713181487830.3657,20.406246185302734
40,1713181487856.556,1713181487832.3813,24.17469024658203
41,1713181487868.2734,1713181487833.7646,34.50894355773926
42,1713181487862.8098,1713181487835.8245,26.98540687561035
43,1713181487864.5464,1713181487837.278,27.268171310424805
44,1713181487866.587,1713181487838.0688,28.517961502075195
45,1713181487870.918,1713181487841.1733,29.744625091552734
46,1713181487875.795,1713181487843.0005,32.79447555541992
47,1713181487877.9753,1713181487844.5999,33.37526321411133
48,1713181487872.0376,1713181487846.15,25.887727737426758
49,1713181487877.0398,1713181487850.8464,26.19338035583496
50,1713181487880.7468,1713181487856.6492,24.097681045532227
51,1713181487881.9736,1713181487862.8933,19.080400466918945
52,1713181487884.3293,1713181487864.641,19.688129425048828
53,1713181487886.7163,1713181487866.6768,20.03955841064453
54,1713181487887.7666,1713181487868.3582,19.408464431762695
55,1713181487890.464,1713181487870.994,19.47021484375
56,1713181487891.1301,1713181487872.3398,18.790245056152344
57,1713181487898.6936,1713181487875.9014,22.79210090637207
58,1713181487902.2485,1713181487877.2651,24.98340606689453
59,1713181487904.2576,1713181487878.2705,25.98714828491211
60,1713181487903.549,1713181487880.8184,22.730588912963867
61,1713181487908.2456,1713181487882.0337,26.211977005004883
62,1713181487917.22,1713181487884.404,32.81593322753906
63,1713181487913.5547,1713181487886.8,26.75461769104004
64,1713181487919.2957,1713181487888.0234,31.272172927856445
65,1713181487920.1462,1713181487890.5237,29.622554779052734
66,1713181487918.4143,1713181487891.3254,27.08888053894043
67,1713181487923.9624,1713181487898.7769,25.185585021972656
68,1713181487928.2542,1713181487902.3215,25.93255043029785
69,1713181487926.929,1713181487903.616,23.313045501708984
70,1713181487924.907,1713181487904.4673,20.439624786376953
71,1713181487929.2964,1713181487908.3345,20.961999893188477
72,1713181487931.8926,1713181487913.6562,18.236398696899414
73,1713181487933.4016,1713181487917.2974,16.10422134399414
74,1713181487937.354,1713181487918.4795,18.874645233154297
75,1713181487938.2986,1713181487919.3547,18.94378662109375
76,1713181487938.9683,1713181487920.3555,18.61262321472168
77,1713181487945.3845,1713181487924.0356,21.348953247070312
78,1713181487956.2512,1713181487925.1387,31.1124324798584
79,1713181487952.9978,1713181487927.013,25.985002517700195
80,1713181487951.6855,1713181487928.3164,23.369312286376953
81,1713181487952.0537,1713181487929.357,22.696733474731445
82,1713181487960.3115,1713181487931.9778,28.333663940429688
83,1713181487964.1694,1713181487933.4844,30.6851863861084
84,1713181487961.8694,1713181487937.422,24.44744110107422
85,1713181487963.4314,1713181487938.3599,25.071382522583008
86,1713181487965.8186,1713181487939.1816,26.63707733154297
87,1713181487968.8103,1713181487945.4983,23.312091827392578
88,1713181487975.178,1713181487952.0994,23.07868003845215
89,1713181487973.998,1713181487953.0476,20.9505558013916
90,1713181487975.5415,1713181487953.985,21.556377410888672
91,1713181487978.2334,1713181487956.3186,21.91472053527832
92,1713181487982.337,1713181487960.3894,21.947622299194336
93,1713181487991.1162,1713181487961.96,29.156208038330078
94,1713181487992.069,1713181487963.4934,28.575658798217773
95,1713181487987.583,1713181487964.4568,23.12612533569336
96,1713181487991.5857,1713181487965.881,25.704622268676758
97,1713181487992.6755,1713181487968.9165,23.759126663208008
98,1713181487993.7593,1713181487974.1118,19.64735984802246
99,1713181487994.3696,1713181487975.5815,18.787860870361328
34870.471490425865